,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.613804578781128,0.6255333423614502,1.018173098564148,0.8082000017166138
1,0.7409024834632874,0.8605333566665649,0.5373562574386597,0.8942000269889832
2,0.44527187943458557,0.9031000137329102,0.37254762649536133,0.911300003528595
3,0.3321540653705597,0.9192333221435547,0.2974197268486023,0.9226999878883362
4,0.2731282413005829,0.9297833442687988,0.2582196891307831,0.9315000176429749
5,0.23537153005599976,0.9380666613578796,0.22800542414188385,0.9373000264167786
6,0.2081395834684372,0.9449999928474426,0.2069281041622162,0.9429000020027161
7,0.18741729855537415,0.9496166706085205,0.19182394444942474,0.9476000070571899
8,0.1704370081424713,0.9541166424751282,0.18076375126838684,0.9491999745368958
9,0.15711157023906708,0.9572666883468628,0.1689099669456482,0.9521999955177307
