method_name,loss,parameters
Spider,693.141492188536,"(0.1, 1e-05, 1e-05)"
Spider,693.1414921885589,"(0.1, 1e-05, 0.0001)"
Spider,693.1414921887889,"(0.1, 1e-05, 0.001)"
Spider,693.14149219109,"(0.1, 1e-05, 0.01)"
Spider,693.1414922140996,"(0.1, 1e-05, 0.1)"
Spider,693.0903065089151,"(0.1, 0.0001, 1e-05)"
Spider,693.0903065091452,"(0.1, 0.0001, 0.0001)"
Spider,693.0903065114451,"(0.1, 0.0001, 0.001)"
Spider,693.0903065344472,"(0.1, 0.0001, 0.01)"
Spider,693.0903067644654,"(0.1, 0.0001, 0.1)"
Spider,692.5793991164419,"(0.1, 0.001, 1e-05)"
Spider,692.5793991187907,"(0.1, 0.001, 0.0001)"
Spider,692.5793991416144,"(0.1, 0.001, 0.001)"
Spider,692.5793993708693,"(0.1, 0.001, 0.01)"
Spider,692.5794016633872,"(0.1, 0.001, 0.1)"
Spider,687.5582660625826,"(0.1, 0.01, 1e-05)"
Spider,687.5582660524218,"(0.1, 0.01, 0.0001)"
Spider,687.5582662793342,"(0.1, 0.01, 0.001)"
Spider,687.5582686588123,"(0.1, 0.01, 0.01)"
Spider,687.5582907597122,"(0.1, 0.01, 0.1)"
Spider,641.6880971753179,"(0.1, 0.1, 1e-05)"
Spider,641.6880857761347,"(0.1, 0.1, 0.0001)"
Spider,641.6881080735517,"(0.1, 0.1, 0.001)"
Spider,641.6881040157241,"(0.1, 0.1, 0.01)"
Spider,641.688333966337,"(0.1, 0.1, 0.1)"
